N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
120,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1250.07,0.113,34.6771
121,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1300.27,0.099,34.6764
122,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1350.22,0.08,34.6758
123,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1400.27,0.064,34.6749
124,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1450.29,0.048,34.6743
125,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1500.16,0.031,34.6737
126,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1550.18,0.014,34.673
127,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1600.41,-0.002,34.6724
128,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1650.38,-0.017,34.6715
129,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1700.27,-0.04,34.6705
130,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1750.1,-0.052,34.6701
131,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1799.35,-0.064,34.6695
132,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1850.4,-0.077,34.6684
133,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1900.13,-0.091,34.6683
134,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,1950.13,-0.102,34.6678
135,-61.27368,-21.87375,2025-04-01 18:47:42,113,7900987,2000.42,-0.115,34.6676
