N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
184,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,197.7,11.867,35.029
185,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,198.8,11.866,35.03
186,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,200.0,11.867,35.029
187,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,201.1,11.866,35.03
188,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,202.2,11.86,35.031
189,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,203.4,11.849,35.027
190,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,204.5,11.843,35.027
191,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,205.6,11.831,35.028
192,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,206.7,11.823,35.023
193,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,207.8,11.818,35.023
194,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,209.0,11.814,35.023
195,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,210.1,11.809,35.022
196,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,211.2,11.805,35.024
197,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,212.3,11.806,35.023
198,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,213.4,11.809,35.025
199,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,214.6,11.809,35.025
200,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,215.7,11.804,35.024
201,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,216.8,11.801,35.025
202,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,217.9,11.794,35.024
203,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,219.0,11.789,35.023
204,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,220.1,11.786,35.023
205,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,221.2,11.784,35.023
206,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,222.2,11.779,35.023
207,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,223.3,11.778,35.022
208,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,224.4,11.778,35.023
209,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,225.5,11.78,35.023
210,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,226.6,11.785,35.026
211,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,227.6,11.781,35.026
212,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,228.7,11.775,35.025
213,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,229.6,11.766,35.025
214,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,231.0,11.752,35.023
215,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,232.2,11.748,35.022
216,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,233.0,11.746,35.022
217,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,233.8,11.743,35.023
218,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,235.0,11.742,35.022
219,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,236.2,11.739,35.022
220,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,237.0,11.738,35.022
221,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,237.8,11.735,35.021
222,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,239.0,11.73,35.021
223,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,240.2,11.728,35.021
224,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,241.0,11.725,35.019
225,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,241.8,11.726,35.019
226,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,243.0,11.726,35.02
227,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,244.2,11.728,35.021
228,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,245.1,11.726,35.021
229,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,245.9,11.726,35.021
230,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,246.7,11.725,35.021
231,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,248.0,11.723,35.02
232,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,249.2,11.717,35.02
233,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,250.1,11.709,35.019
234,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,250.9,11.713,35.019
235,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,251.8,11.709,35.02
236,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,252.6,11.708,35.019
237,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,253.9,11.71,35.019
238,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,255.2,11.703,35.021
239,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,256.1,11.705,35.019
240,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,257.0,11.708,35.02
241,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,257.8,11.714,35.021
242,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,258.7,11.715,35.023
243,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,260.0,11.715,35.023
244,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,261.3,11.72,35.025
245,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,262.2,11.719,35.025
246,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,263.0,11.717,35.025
247,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,263.9,11.712,35.024
248,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,264.8,11.714,35.025
249,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,265.7,11.718,35.022
250,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,266.6,11.727,35.03
251,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,267.9,11.728,35.03
252,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,269.3,11.738,35.033
253,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,270.2,11.739,35.033
254,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,271.1,11.742,35.034
255,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,272.0,11.74,35.034
256,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,273.0,11.745,35.035
257,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,273.9,11.745,35.036
258,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,274.8,11.747,35.037
259,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,275.7,11.751,35.036
260,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,276.7,11.754,35.039
261,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,277.6,11.755,35.039
262,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,278.9,11.754,35.038
263,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,280.3,11.754,35.039
264,-39.845533333333336,89.079075,2025-04-01 18:44:30,77,2903768,281.3,11.755,35.038
