N_POINTS,LATITUDE,LONGITUDE,TIME,CYCLE_NUMBER,PLATFORM_NUMBER,PRES,TEMP,PSAL
158,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,225.4,2.266,34.899
159,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,227.8,2.2,34.895
160,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,229.7,2.176,34.897
161,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,231.5,2.163,34.889
162,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,233.3,2.154,34.894
163,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,235.1,2.136,34.9
164,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,237.4,2.096,34.895
165,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,239.6,2.078,34.892
166,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,241.4,2.039,34.891
167,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,243.3,2.004,34.892
168,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,245.1,1.986,34.892
169,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,247.5,1.978,34.89
170,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,249.8,1.962,34.89
171,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,251.7,1.954,34.89
172,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,253.5,1.944,34.889
173,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,255.4,1.925,34.887
174,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,257.3,1.882,34.886
175,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,259.1,1.86,34.888
176,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,261.5,1.826,34.885
177,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,263.8,1.765,34.885
178,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,265.6,1.73,34.885
179,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,267.4,1.708,34.883
180,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,269.1,1.69,34.883
181,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,271.4,1.654,34.882
182,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,273.6,1.605,34.881
183,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,275.4,1.574,34.883
184,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,277.2,1.546,34.88
185,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,279.5,1.505,34.88
186,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,281.8,1.481,34.881
187,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,283.6,1.445,34.879
188,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,285.6,1.435,34.881
189,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,287.4,1.428,34.881
190,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,289.3,1.424,34.88
191,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,291.1,1.42,34.879
192,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,293.5,1.381,34.879
193,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,295.8,1.316,34.88
194,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,297.6,1.297,34.879
195,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,299.5,1.286,34.878
196,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,301.4,1.246,34.88
197,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,303.3,1.223,34.878
198,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,305.2,1.203,34.879
199,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,307.1,1.183,34.876
200,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,309.1,1.161,34.877
201,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,311.0,1.134,34.876
202,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,313.4,1.076,34.877
203,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,315.8,1.055,34.876
204,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,317.7,1.029,34.876
205,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,319.6,1.0,34.875
206,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,321.5,0.949,34.877
207,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,323.4,0.91,34.875
208,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,325.3,0.865,34.877
209,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,327.3,0.838,34.877
210,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,329.2,0.811,34.877
211,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,331.2,0.798,34.877
212,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,333.2,0.789,34.876
213,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,335.2,0.782,34.877
214,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,337.2,0.774,34.876
215,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,339.2,0.762,34.876
216,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,341.2,0.735,34.876
217,64.31684,-5.411706666666666,2025-04-01 16:50:30,69,4903673,343.2,0.726,34.875
